m_id,is_spam
166956992b031a18,False
16694ba3becf9f67,False
1668fed0a4665b75,False
1668d821b1b77b4b,False
16687acdbf99111c,False
166858dd3d87f605,False
16682442511cb016,False
1667d06503eaaaf6,False
1667c91d56db6832,False
1667769263865e4c,False
16671dabc0cafdc6,False
1666dd57046cd6c9,False
1666d1da7cbcca3d,False
1666d0f9b4819af8,False
166693d45bd24f5e,False
1666885eb2408559,False
166618374f93fcfe,False
1665fd62149ed258,False
1665fd62129b6470,False
1665fd6201142b68,False
1665fd6094c06e86,False
1665908d646fcab5,False
1665889d9af285ae,False
166550347cb1ccc6,False
1664eedf6a81dfe6,False
1664b858c8d898af,False
1664525bff723415,False
166445a6316cd6b5,False
1663a18b002e3e77,False
16636178cb0a1752,False
16635003a8a46233,False
166310ea4f1f743e,False
1662fa69697ec5ee,False
1662b395f22ef21d,False
16623a0ddc9b77c7,False
16622f9dbf95602e,False
1661134fd42392fb,False
16610aa7f1dc5625,False
1660dd99b51dcdc0,False
1660bf72749775c1,False
1660167e6181b5d7,False
165f734f5ccd6d0d,False
165f64228dbac31a,False
165f22c8082a636f,False
165ecff6d8a3fd84,False
165ec1f75db10275,False
165e8bcbe4f3b507,False
165c8d4a1f1d4e23,False
165c4e811075173b,False
165bf846ce2248c2,False
165b3640e071cf31,False
165a9eb9a4c5a8e7,False
165a4ee3be8dd662,False
165a323e74b223e3,False
165a13c2a2921ae2,False
16594dcc365fa67d,False
165948c5976b59d4,False
165843e63d36b823,False
1657de9f2c1e6073,False
16576d7e3171e464,False
1656a28780be91c3,False
16561c96252ca83a,False
1655caa6351608fe,False
1655b63d0bf4fd34,False
16559e4a71bfe9e0,False
1655661eeb7e57f9,False
16538ac20fa8d9aa,False
165373182babe52e,False
16534c5713c95722,False
1651e770462d583f,False
16519bf10c6fdb31,False
16510f56160b7847,False
1650a2b46ed69d12,False
164fc6730f8f7659,False
164fa6a7c8d4d5c7,False
164ecba89e3a6efc,False
164dbdcd2fac483e,False
164d19706a1731ae,False
164cb3271f846d05,False
164caed02f17b15c,False
164c8e92ab23d68a,False
164c1c463fa3a239,False
164b777951f5b841,False
164b25185261fe6e,False
164b251345f60e73,False
164ae43796660aa6,False
164a6e648391ab72,False
164a536b2aad322a,False
164a321563865f56,False
164830ee94770126,False
164800cd357db00f,False
1647d9a9fd2873c2,False
1646eb1e0ba71c26,False
1646920049dda77c,False
1646406076c3a92e,False
16463d5dd3fc9598,False
16460e4496357aad,False
1646030b1d983316,False
1645c7c210acddf2,False
1644b721e98a87b7,False
